City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,San Pedro,2021-09-29 01:20:51,14.35,121.0167,87.31,71,95,2.95
212,Alvaraes,2021-09-29 01:20:51,-3.2208,-64.8042,70.61,96,65,1.77
213,Quelimane,2021-09-29 01:20:52,-17.8786,36.8883,76.95,78,0,11.5
214,Yulara,2021-09-29 01:20:52,-25.2406,130.9889,71.44,35,0,5.75
215,Port Hedland,2021-09-29 01:19:43,-20.3167,118.5667,86.05,21,5,2.3
216,Tokur,2021-09-29 01:20:52,53.1333,132.9,43.75,94,100,7.11
217,Tiksi,2021-09-29 01:20:53,71.6872,128.8694,32.11,89,100,2.84
218,Atocha,2021-09-29 01:20:53,-20.9333,-66.2333,54.37,48,1,9.64
219,Auki,2021-09-29 01:20:53,-8.7676,160.7034,85.68,66,100,4.14
220,Capoterra,2021-09-29 01:20:54,39.1763,8.9718,69.53,80,13,6.91
221,Vostok,2021-09-29 01:20:54,46.4856,135.8833,64.27,64,100,3.29
222,Key Largo,2021-09-29 01:19:24,25.0865,-80.4473,81.0,55,2,14.07
223,Wau,2021-09-29 01:20:54,7.7029,27.9953,70.84,96,90,2.57
224,Kamaishi,2021-09-29 01:20:55,39.2667,141.8833,72.55,79,89,7.85
225,East London,2021-09-29 01:20:55,-33.0153,27.9116,61.83,75,100,8.77
226,Tarauaca,2021-09-29 01:20:55,-8.1614,-70.7656,78.3,65,5,2.53
227,Porto Velho,2021-09-29 01:20:06,-8.7619,-63.9039,77.05,88,0,0.0
228,Airai,2021-09-29 01:20:56,-8.9266,125.4092,77.58,31,9,2.98
229,Kinsale,2021-09-29 01:20:56,51.7075,-8.5306,45.77,81,20,12.66
230,Kuytun,2021-09-29 01:20:56,54.3419,101.5036,31.77,86,89,7.87
231,Katangli,2021-09-29 01:20:57,51.7102,143.2326,63.41,72,12,7.61
232,Vila Velha,2021-09-29 01:17:46,-20.3297,-40.2925,73.35,78,75,5.75
233,Hanting,2021-09-29 01:20:57,36.7708,119.2108,69.21,80,0,2.93
234,Port Lincoln,2021-09-29 01:20:58,-34.7333,135.8667,61.66,70,47,6.69
